Time_Step,UAV_ID,BaseStation,Channel,SIR,Label
1,358504473,-1,-1,-1.0,2
1,358504473,-1,-1,-1.0,2
2,358504473,-1,-1,-1.0,4
2,358504473,-1,-1,-1.0,4
2,2002096497,-1,-1,-1.0,2
2,2002096497,-1,-1,-1.0,2
3,2002096497,-1,-1,-1.0,4
3,2002096497,-1,-1,-1.0,4
3,358504473,-1,-1,-1.0,4
3,358504473,-1,-1,-1.0,4
3,1201743363,-1,-1,-1.0,2
3,1201743363,-1,-1,-1.0,2
4,2002096497,-1,-1,-1.0,4
4,2002096497,-1,-1,-1.0,4
4,358504473,-1,-1,-1.0,4
4,358504473,-1,-1,-1.0,4
4,1201743363,-1,-1,-1.0,4
4,1201743363,-1,-1,-1.0,4
5,358504473,-1,-1,-1.0,4
5,358504473,-1,-1,-1.0,4
5,1201743363,-1,-1,-1.0,4
5,1201743363,-1,-1,-1.0,4
5,2002096497,-1,-1,-1.0,4
5,2002096497,-1,-1,-1.0,4
6,358504473,-1,-1,-1.0,4
6,358504473,-1,-1,-1.0,4
6,1201743363,-1,-1,-1.0,4
6,1201743363,-1,-1,-1.0,4
6,2002096497,-1,-1,-1.0,4
6,2002096497,-1,-1,-1.0,4
7,358504473,-1,-1,-1.0,2
7,358504473,-1,-1,-1.0,2
7,1201743363,-1,-1,-1.0,4
7,1201743363,-1,-1,-1.0,4
7,2002096497,-1,-1,-1.0,4
7,2002096497,-1,-1,-1.0,4
8,1201743363,-1,-1,-1.0,4
8,1201743363,-1,-1,-1.0,4
8,1245268568,-1,-1,-1.0,2
8,1245268568,-1,-1,-1.0,2
8,358504473,-1,-1,-1.0,4
8,358504473,-1,-1,-1.0,4
8,2002096497,-1,-1,-1.0,2
8,2002096497,-1,-1,-1.0,2
9,1245268568,-1,-1,-1.0,4
9,1245268568,-1,-1,-1.0,4
9,2002096497,-1,-1,-1.0,4
9,2002096497,-1,-1,-1.0,4
9,1201743363,-1,-1,-1.0,2
9,1201743363,-1,-1,-1.0,2
9,358504473,-1,-1,-1.0,4
