TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished,Trajectory,UnManned,Level,Flag
50,1,48.013656,-103.0029825,999,-1,1,-1,true,1,-1
51,1,48.013656,-103.0027413,999,-1,1,-1,true,1,-1
51,1,48.013656,-103.0027413,999,-1,1,-1,true,1,-1
52,1,48.013656,-103.0025,999,-1,1,-1,true,1,-1
52,1,48.013656,-103.0025,999,-1,1,-1,true,1,-1
53,1,48.013656,-103.0022587,999,-1,1,-1,true,1,-1
53,1,48.013656,-103.0022587,999,-1,1,-1,true,1,-1
54,1,48.013656,-103.0020174,999,-1,1,-1,true,1,-1
54,1,48.013656,-103.0020174,999,-1,1,-1,true,1,-1
55,1,48.013656,-103.0017762,999,-1,1,-1,true,1,-1
55,1,48.013656,-103.0017762,999,-1,1,-1,true,1,-1
56,1,48.013656,-103.0015349,999,-1,1,-1,true,1,-1
56,1,48.013656,-103.0015349,999,-1,1,-1,true,1,-1
57,1,48.013656,-103.0012936,999,-1,1,-1,true,1,-1
57,1,48.013656,-103.0012936,999,-1,1,-1,true,1,-1
58,1,48.013656,-103.0010524,999,-1,1,-1,true,1,-1
58,1,48.013656,-103.0010524,999,-1,1,-1,true,1,-1
59,1,48.013656,-103.0008111,999,-1,1,-1,true,1,-1
59,1,48.013656,-103.0008111,999,-1,1,-1,true,1,-1
60,1,48.013656,-103.0005698,999,-1,1,-1,true,1,-1
60,1,48.013656,-103.0005698,999,-1,1,-1,true,1,-1
61,1,48.013656,-103.0003286,999,-1,1,-1,true,1,-1
61,1,48.013656,-103.0003286,999,-1,1,-1,true,1,-1
62,1,48.013656,-103.0000873,999,-1,1,-1,true,1,-1
62,1,48.013656,-103.0000873,999,-1,1,-1,true,1,-1
63,1,48.013656,-102.999846,999,-1,1,-1,true,1,-1
63,1,48.013656,-102.999846,999,-1,1,-1,true,1,-1
64,1,48.013656,-102.9996048,999,-1,1,-1,true,1,-1
64,1,48.013656,-102.9996048,999,-1,1,-1,true,1,-1
65,1,48.013656,-102.9993635,999,-1,1,-1,true,1,-1
65,1,48.013656,-102.9993635,999,-1,1,-1,true,1,-1
66,1,48.013656,-102.9991222,999,-1,1,-1,true,1,-1
66,1,48.013656,-102.9991222,999,-1,1,-1,true,1,-1
