Time_Step,UAV_ID,X_Distance,Y_Distance,Signal_strength,Current_Basestation,Finished,SINR,Unmanned,Level,Flag
1,1,31757.66404160481,8768.954255146698,999,-1,1,2,true,1,-1
1,1,31757.66404160481,8768.954255146698,999,-1,1,2,true,1,-1
2,1,31757.66404160481,8750.954255147157,999,-1,1,4,true,1,-1
2,1,31757.66404160481,8750.954255147157,999,-1,1,4,true,1,-1
3,1,31757.66404160481,8732.954255147037,999,-1,1,4,true,1,-1
3,1,31757.66404160481,8732.954255147037,999,-1,1,4,true,1,-1
4,1,31757.66404160481,8714.954255147966,999,-1,1,4,true,1,-1
4,1,31757.66404160481,8714.954255147966,999,-1,1,4,true,1,-1
5,1,31757.66404160481,8696.954255148032,999,-1,1,4,true,1,-1
5,1,31757.66404160481,8696.954255148032,999,-1,1,4,true,1,-1
6,1,31757.66404160481,8678.954255148861,999,-1,1,4,true,1,-1
6,1,31757.66404160481,8678.954255148861,999,-1,1,4,true,1,-1
7,1,31757.66404160481,8660.95425514925,999,-1,1,2,true,1,-1
7,1,31757.66404160481,8660.95425514925,999,-1,1,2,true,1,-1
8,1,31757.66404160481,8642.954255149409,999,-1,1,4,true,1,-1
8,1,31757.66404160481,8642.954255149409,999,-1,1,4,true,1,-1
9,1,31757.66404160481,8624.954255149192,999,-1,1,4,true,1,-1
9,1,31757.66404160481,8624.954255149192,999,-1,1,4,true,1,-1
10,1,31757.66404160481,8624.954255149192,999,-1,1,4,true,1,-1
11,1,31757.66404160481,8624.954255149192,999,-1,1,4,true,1,-1
12,1,31757.66404160481,8624.954255149192,999,-1,1,4,true,1,-1
13,1,31757.66404160481,8624.954255149192,999,-1,1,2,true,1,-1
14,1,31757.66404160481,8624.954255149192,999,-1,1,4,true,1,-1
15,1,31757.66404160481,8606.954255148801,999,-1,1,4,true,1,-1
15,1,31757.66404160481,8606.954255148801,999,-1,1,4,true,1,-1
16,1,31757.66404160481,8588.954255147406,999,-1,1,4,true,1,-1
16,1,31757.66404160481,8588.954255147406,999,-1,1,4,true,1,-1
17,1,31757.66404160481,8570.954255147317,999,-1,1,4,true,1,-1
17,1,31757.66404160481,8570.954255147317,999,-1,1,4,true,1,-1
18,1,31775.690784080904,8570.954226978063,999,-1,1,4,true,1,-1
18,1,31775.690784080904,8570.954226978063,999,-1,1,4,true,1,-1
19,1,31793.717526479377,8570.954198808808,999,-1,1,2,true,1,-1
19,1,31793.717526479377,8570.954198808808,999,-1,1,2,true,1,-1
20,1,31811.744268800157,8570.954170639201,999,-1,1,4,true,1,-1
20,1,31811.744268800157,8570.954170639201,999,-1,1,4,true,1,-1
21,1,31829.77101104322,8570.954142468534,999,-1,1,4,true,1,-1
21,1,31829.77101104322,8570.954142468534,999,-1,1,4,true,1,-1
22,1,31847.79775320851,8570.954114298576,999,-1,1,4,true,1,-1
22,1,31847.79775320851,8570.954114298576,999,-1,1,4,true,1,-1
23,1,31865.824495295972,8570.954086128615,999,-1,1,4,true,1,-1
23,1,31865.824495295972,8570.954086128615,999,-1,1,4,true,1,-1
24,1,31883.851237304527,8570.95405795901,999,-1,1,4,true,1,-1
24,1,31883.851237304527,8570.95405795901,999,-1,1,4,true,1,-1
25,1,31901.877979235185,8570.954029789757,999,-1,1,2,true,1,-1
25,1,31901.877979235185,8570.954029789757,999,-1,1,2,true,1,-1
26,1,31919.90472108787,8570.954001620148,999,-1,1,4,true,1,-1
26,1,31919.90472108787,8570.954001620148,999,-1,1,4,true,1,-1
27,1,31937.93146286261,8570.953973449834,999,-1,1,4,true,1,-1
27,1,31937.93146286261,8570.953973449834,999,-1,1,4,true,1,-1
28,1,31955.958204559272,8570.953945280226,999,-1,1,4,true,1,-1
28,1,31955.958204559272,8570.953945280226,999,-1,1,4,true,1,-1
29,1,31973.98494617789,8570.953917110624,999,-1,1,4,true,1,-1
29,1,31973.98494617789,8570.953917110624,999,-1,1,4,true,1,-1
30,1,31992.01168771836,8570.953888941018,999,-1,1,4,true,1,-1
30,1,31992.01168771836,8570.953888941018,999,-1,1,4,true,1,-1
31,1,32010.038429180666,8570.953860772115,999,-1,1,2,true,1,-1
31,1,32010.038429180666,8570.953860772115,999,-1,1,2,true,1,-1
