Timestamp,ID,Lng,Lat,SINR,CQI,Route Distance
1,10,-103.0100873,48.0172502,36.584502,12,18.0
1,4,-103.0181742,48.0103441,9.446805,8,18.0
1,6,-103.0071745,48.0122074,11.525241,9,18.0
1,2,-103.0192935,48.017618,8.017664,8,18.0
1,3,-103.0162331,48.0114655,9.640424,8,18.0
1,9,-103.0083623,48.0172174,38.762634,12,18.0
1,5,-103.0180103,48.0130263,9.025098,8,18.0
1,7,-103.0069657,48.0142629,34.756379,12,18.0
1,1,-103.0109444,48.0154367,9.841761,8,18.0
2,6,-103.0071745,48.0123693,31.568333,11,36.0
2,8,-103.0195084,48.016406,363.278548,15,18.0
2,5,-103.0180103,48.0131882,24.052079,11,36.0
2,4,-103.0181742,48.010506,21.74243,11,36.0
2,3,-103.0162331,48.0116274,23.857666,11,36.0
2,9,-103.0083623,48.0170555,38.47595,12,36.0
2,10,-103.0100873,48.0170883,36.328079,12,36.0
2,1,-103.0109444,48.0152748,32.661087,12,36.0
2,7,-103.0069657,48.0144248,35.027133,12,36.0
3,2,-103.0192935,48.0174561,27.089053,11,36.0
3,7,-103.0069657,48.0145867,35.027133,12,54.0
3,5,-103.0180103,48.0133501,24.052079,11,54.0
3,1,-103.0109444,48.0151129,32.661087,12,54.0
3,10,-103.0100873,48.0169265,36.328079,12,54.0
3,8,-103.0195084,48.0170535,363.278548,15,90.0
3,9,-103.0083623,48.0168936,38.47595,12,54.0
3,3,-103.0162331,48.0117893,23.857666,11,54.0
3,4,-103.0181742,48.0106678,21.74243,11,54.0
3,6,-103.0071745,48.0125311,31.568333,11,54.0
4,8,-103.0195084,48.0172154,26.408908,11,108.0
4,1,-103.0109444,48.014951,32.211091,11,72.0
4,7,-103.0069657,48.0147486,35.575304,12,72.0
4,6,-103.0071745,48.012693,32.055968,11,72.0
4,3,-103.0162331,48.0119512,24.150604,11,72.0
4,10,-103.0100873,48.0167646,35.81973,12,72.0
4,9,-103.0083623,48.0167317,37.908248,12,72.0
4,4,-103.0181742,48.0108297,21.997874,11,72.0
4,5,-103.0180103,48.013512,24.332208,11,72.0
5,8,-103.0195084,48.0173773,26.408908,11,126.0
5,10,-103.0100873,48.0166027,35.81973,12,90.0
5,1,-103.0109444,48.0147892,32.211091,11,90.0
5,9,-103.0083623,48.0165698,37.908248,12,90.0
5,5,-103.0180103,48.0136738,24.332208,11,90.0
5,7,-103.0069657,48.0149104,35.575304,12,90.0
5,4,-103.0181742,48.0109916,21.997874,11,90.0
5,3,-103.0162331,48.0121131,24.150604,11,90.0
5,6,-103.0071745,48.0128549,32.055968,11,90.0
6,3,-103.0162331,48.0122749,24.446843,11,108.0
6,4,-103.0181742,48.0111535,22.256064,11,108.0
6,8,-103.0195084,48.0175392,26.690422,11,144.0
