Timestamp,ID,Lng,Lat,SINR,CQI,Route Distance
1,7,-103.0069657,48.0142629,34.756379,12,18.0
1,4,-103.0181742,48.0103441,9.446805,8,18.0
1,1,-103.0109444,48.0154367,9.841761,8,18.0
1,9,-103.0083623,48.0172174,38.762634,12,18.0
1,3,-103.0162331,48.0114655,9.640424,8,18.0
1,8,-103.0195084,48.016406,25.71177,11,18.0
1,10,-103.0100873,48.0172502,36.584502,12,18.0
1,5,-103.0180103,48.0130263,23.913001,11,18.0
1,6,-103.0071745,48.0122074,31.327598,11,18.0
2,2,-103.0192935,48.017618,69.59617,13,18.0
2,4,-103.0181742,48.010506,21.74243,11,36.0
2,7,-103.0069657,48.0144248,35.027133,12,36.0
2,10,-103.0100873,48.0170883,36.328079,12,36.0
2,5,-103.0180103,48.0131882,24.052079,11,36.0
2,1,-103.0109444,48.0152748,32.661087,12,36.0
2,6,-103.0071745,48.0123693,31.568333,11,36.0
2,8,-103.0195084,48.0172154,25.850396,11,108.0
2,9,-103.0083623,48.0170555,38.47595,12,36.0
2,3,-103.0162331,48.0116274,23.857666,11,36.0
3,5,-103.0180103,48.0133501,24.191816,11,54.0
3,6,-103.0071745,48.0125311,31.81112,11,54.0
3,4,-103.0181742,48.0106678,21.869808,11,54.0
3,8,-103.0195084,48.0173773,26.549486,11,126.0
3,7,-103.0069657,48.0145867,35.300105,12,54.0
3,10,-103.0100873,48.0169265,36.073152,12,54.0
3,3,-103.0162331,48.0117893,24.003722,11,54.0
3,9,-103.0083623,48.0168936,38.191153,12,54.0
3,1,-103.0109444,48.0151129,32.43538,11,54.0
4,2,-103.0192935,48.0174561,27.089053,11,36.0
4,3,-103.0162331,48.0119512,24.003722,11,72.0
4,9,-103.0083623,48.0167317,38.191153,12,72.0
4,7,-103.0069657,48.0147486,35.300105,12,72.0
4,10,-103.0100873,48.0167646,36.073152,12,72.0
4,4,-103.0181742,48.0108297,21.869808,11,72.0
4,6,-103.0071745,48.012693,31.81112,11,72.0
4,1,-103.0109444,48.014951,32.43538,11,72.0
4,5,-103.0180103,48.013512,24.191816,11,72.0
5,1,-103.0109444,48.0147892,31.988222,11,90.0
5,8,-103.0195084,48.0175392,26.690422,11,144.0
5,9,-103.0083623,48.0165698,37.627243,12,90.0
5,4,-103.0181742,48.0109916,22.126626,11,90.0
5,2,-103.0192935,48.0172942,26.945711,11,54.0
5,5,-103.0180103,48.0143214,24.473252,11,162.0
5,3,-103.0162331,48.0125987,24.298312,11,144.0
5,6,-103.0071745,48.0128549,32.302889,11,90.0
5,10,-103.0100873,48.0166027,35.567822,12,90.0
5,7,-103.0069657,48.0149104,35.852735,12,90.0
6,4,-103.0181742,48.0111535,22.256064,11,108.0
6,8,-103.0195084,48.0177011,26.831706,11,162.0
6,2,-103.0192935,48.0171324,26.802726,11,72.0
6,1,-103.0109444,48.0146273,31.766777,11,108.0
6,10,-103.0100873,48.0164408,35.317436,12,108.0
6,9,-103.0083623,48.0164079,37.348143,12,108.0
6,7,-103.0069657,48.0150723,36.132407,12,108.0
6,6,-103.0071745,48.0130168,32.551893,11,108.0
7,8,-103.0195084,48.017863,26.973326,11,180.0
7,2,-103.0192935,48.0169705,26.660107,11,90.0
7,6,-103.0071745,48.0131787,32.802991,12,126.0
7,1,-103.009738,48.0146273,31.546759,11,198.0
7,10,-103.0100873,48.0162789,35.068581,12,126.0
7,7,-103.0069657,48.0152342,36.414324,12,126.0
7,9,-103.0083623,48.0155985,37.070952,12,198.0
7,3,-103.0162331,48.0132462,24.897359,11,216.0
7,4,-103.0181742,48.0113154,22.386184,11,126.0
8,2,-103.0192935,48.0168086,26.660107,11,108.0
8,3,-103.0162331,48.0140557,24.897359,11,306.0
8,9,-103.0083623,48.0154366,37.070952,12,216.0
8,5,-103.0180103,48.0149689,25.188062,11,234.0
8,10,-103.0100873,48.0154695,35.068581,12,216.0
8,7,-103.0069657,48.0153961,36.414324,12,144.0
8,8,-103.0195084,48.0180248,26.973326,11,198.0
8,6,-103.0071745,48.0138262,32.802991,12,198.0
8,4,-103.0181742,48.0114773,22.386184,11,144.0
9,7,-103.0069657,48.015558,36.984917,12,162.0
9,3,-103.0162331,48.0142175,26.292524,11,324.0
9,8,-103.0195084,48.0181867,27.257524,11,216.0
9,6,-103.0071745,48.0139881,34.090227,12,216.0
9,10,-103.0100873,48.0146601,33.607925,12,306.0
9,5,-103.0180103,48.0151308,25.771084,11,252.0
9,1,-103.0107031,48.0146273,32.735997,12,270.0
9,4,-103.0181742,48.0116391,22.648469,11,162.0
9,9,-103.0083623,48.0146272,35.448072,12,306.0
10,2,-103.0192935,48.0166467,26.376014,11,126.0
10,1,-103.0107031,48.0144654,31.780929,11,288.0
10,9,-103.0083623,48.0138178,34.148508,12,396.0
10,4,-103.0181742,48.011801,22.780629,11,180.0
10,8,-103.0195084,48.0183486,27.400079,11,234.0
10,10,-103.0100873,48.0138507,32.433719,11,396.0
11,2,-103.0192935,48.0164848,26.234562,11,144.0
11,10,-103.0100873,48.0136888,31.29889,11,414.0
11,8,-103.0195084,48.0185105,27.54292,11,252.0
11,4,-103.0181742,48.0119629,22.913464,11,198.0
11,9,-103.0083623,48.0136559,32.896789,12,414.0
11,1,-103.0107031,48.0143035,31.559242,11,306.0
11,6,-103.0071745,48.01415,34.354086,12,234.0
11,3,-103.0162331,48.015027,26.4515,11,414.0
12,8,-103.0195084,48.0186724,27.686035,11,270.0
12,4,-103.0181742,48.0121248,23.046972,11,216.0
12,9,-103.0083623,48.013494,32.652148,11,432.0
12,5,-103.0180103,48.0152927,25.918338,11,270.0
12,1,-103.0107031,48.0141416,31.339025,11,324.0
12,10,-103.0100873,48.0135269,31.07665,11,432.0
12,6,-103.0071745,48.0143119,34.620103,12,252.0
12,3,-103.0162331,48.0158364,27.25788,11,504.0
13,1,-103.0109444,48.0141416,31.339025,11,342.0
13,2,-103.0192935,48.0163229,26.09352,11,162.0
13,8,-103.0195084,48.0188343,27.686035,11,288.0
13,4,-103.0181742,48.0122867,23.046972,11,234.0
13,5,-103.0180103,48.0159402,25.918338,11,342.0
13,10,-103.0100873,48.013365,31.07665,11,450.0
14,8,-103.0195084,48.0189961,27.97303,11,306.0
14,5,-103.0180103,48.0161021,26.663232,11,360.0
14,4,-103.0181742,48.0124486,23.315995,11,252.0
14,3,-103.0162331,48.0164839,28.082831,11,576.0
14,10,-103.0100873,48.0132031,30.636888,11,468.0
15,4,-103.0181742,48.0126104,23.315995,11,270.0
15,7,-103.0067244,48.015558,37.273603,12,180.0
15,2,-103.0192935,48.0161611,25.952897,11,180.0
15,8,-103.0195084,48.019158,27.97303,11,324.0
15,3,-103.0162331,48.0166458,28.082831,11,594.0
15,10,-103.0100873,48.0130412,30.636888,11,486.0
16,2,-103.0192935,48.0159992,25.812703,11,198.0
16,8,-103.0195084,48.0193199,28.260954,11,342.0
16,7,-103.0064831,48.015558,37.562078,12,198.0
16,4,-103.0181742,48.0127723,23.587675,11,288.0
16,5,-103.0180103,48.016264,26.813878,11,378.0
16,10,-103.0100873,48.0128794,30.203399,11,504.0
16,3,-103.0162331,48.0168077,28.925371,11,612.0
17,5,-103.0180103,48.0164259,26.965059,11,396.0
17,4,-103.0181742,48.0129342,23.724503,11,306.0
17,10,-103.0100873,48.0127175,29.989001,11,522.0
17,2,-103.0192935,48.0158373,25.672949,11,216.0
17,7,-103.0062419,48.015558,37.85276,12,216.0
18,7,-103.0060006,48.015558,37.85276,12,234.0
18,5,-103.0180103,48.0165878,26.965059,11,414.0
18,6,-103.0069332,48.0143119,34.888283,12,270.0
18,2,-103.0192935,48.0156754,25.672949,11,234.0
18,9,-103.0083623,48.0133321,32.409396,11,450.0
18,4,-103.0181742,48.0130961,23.724503,11,324.0
