Timestamp,ID,Lng,Lat,SINR,CQI,Route Distance,Predict SINR,NS3 Distance to Attached BS,Repast Distance to Attached BS
1,1,-103.0109444,48.0154367,30.69734808520205,15,18.0,22.056446075439453,2703.89098,
2,1,-103.0109444,48.0152748,30.652837716211778,15,36.0,22.065658569335938,2703.89098,
3,1,-103.0109444,48.0151129,30.652837716211778,15,54.0,22.07478904724121,2703.89098,
4,1,-103.0109444,48.014951,30.56380658632982,15,72.0,22.083847045898438,2703.89098,
5,1,-103.0109444,48.0147892,30.519293606852113,15,90.0,22.09290313720703,2703.89098,
6,1,-103.0109444,48.0146273,30.519293606852113,15,108.0,22.101806640625,2703.89098,
7,1,-103.0109444,48.0144654,30.43029145854883,15,126.0,22.110719680786133,2703.89098,
8,1,-103.0109444,48.0143035,30.385809433475046,15,144.0,22.119535446166992,2703.89098,
9,1,-103.0109444,48.0141416,30.34134470385019,15,162.0,22.128368377685547,2703.89098,
10,1,-103.0109444,48.0141416,30.296900591394937,15,162.0,22.128368377685547,2703.89098,
11,1,-103.0109444,48.0141416,30.296900591394937,15,162.0,22.128368377685547,2703.89098,
12,1,-103.0109444,48.0141416,30.296900591394937,15,162.0,22.128368377685547,2703.89098,
13,1,-103.0109444,48.0141416,30.296900591394937,15,162.0,22.128368377685547,2703.89098,
14,1,-103.0109444,48.0141416,30.296900591394937,15,162.0,22.128368377685547,2703.89098,
15,1,-103.0109444,48.0139797,30.296900591394937,15,180.0,22.13705062866211,2703.89098,
16,1,-103.0109444,48.0138179,30.252480326457786,15,198.0,22.145721435546875,2703.89098,
17,1,-103.0109444,48.013656,30.20808703206101,15,216.0,22.154338836669922,2703.89098,
18,1,-103.0107031,48.013656,30.163723753171915,15,234.0,22.177776336669922,2703.89098,
19,1,-103.0104618,48.013656,30.204170419822596,15,252.0,22.201171875,2703.89098,
20,1,-103.0102206,48.013656,30.24457972127903,15,270.0,22.224571228027344,2703.89098,
21,1,-103.0099793,48.013656,30.24457972127903,15,288.0,22.248004913330078,2703.89098,
22,1,-103.009738,48.013656,30.325270590352336,15,306.0,22.271358489990234,2703.89098,
23,1,-103.0094968,48.013656,30.365544106648848,15,324.0,22.294742584228516,2703.89098,
24,1,-103.0092555,48.013656,30.365544106648848,15,342.0,22.31809425354004,2703.89098,
25,1,-103.0090142,48.013656,30.445926509470524,15,360.0,22.341474533081055,2703.89098,
26,1,-103.008773,48.013656,30.486026790788287,15,378.0,22.364835739135742,2703.89098,
27,1,-103.0085317,48.013656,30.52606056295108,15,396.0,22.3881778717041,2703.89098,
28,1,-103.0082904,48.013656,30.52606056295108,15,414.0,22.411502838134766,2703.89098,
29,1,-103.0080492,48.013656,30.605910319417163,15,432.0,22.43484115600586,2703.89098,
30,1,-103.0078079,48.013656,30.645716936022236,15,450.0,22.458166122436523,2703.89098,
31,1,-103.0075666,48.013656,30.6854382969564,15,468.0,22.481416702270508,2703.89098,
32,1,-103.0073254,48.013656,30.6854382969564,15,486.0,22.504737854003906,2703.89098,
33,1,-103.0070841,48.013656,30.76460541880277,15,504.0,22.528059005737305,2703.89098,
34,1,-103.0068428,48.013656,30.80404100797134,15,522.0,22.55131721496582,2703.89098,
35,1,-103.0066016,48.013656,30.80404100797134,15,540.0,22.574596405029297,2703.89098,
36,1,-103.0063603,48.013656,30.882590060684457,15,558.0,22.597858428955078,2703.89098,
37,1,-103.006119,48.013656,30.92169274057216,15,576.0,22.621118545532227,2703.89098,
38,1,-103.0058777,48.013656,30.960673498734774,15,594.0,22.64436912536621,2703.89098,
39,1,-103.0056365,48.013656,30.999526686627515,15,612.0,22.667579650878906,2703.89098,
40,1,-103.0053952,48.013656,31.03824655155254,15,630.0,22.690832138061523,2703.89098,
41,1,-103.0051539,48.013656,31.0768272340145,15,648.0,22.714031219482422,2703.89098,
42,1,-103.0049127,48.013656,31.0768272340145,15,666.0,22.737268447875977,2703.89098,
43,1,-103.0046714,48.013656,31.153547124503863,15,684.0,22.760482788085938,2703.89098,
44,1,-103.0044301,48.013656,31.19167409595351,15,702.0,22.783668518066406,2703.89098,
45,1,-103.0041889,48.013656,31.22963742326684,15,720.0,22.806835174560547,2703.89098,
46,1,-103.0039476,48.013656,31.267430736263833,15,738.0,22.830001831054688,2703.89098,
47,1,-103.0037063,48.013656,31.305047558155135,15,756.0,22.853195190429688,2703.89098,
48,1,-103.0034651,48.013656,31.305047558155135,15,774.0,22.8763427734375,2703.89098,
49,1,-103.0032238,48.013656,31.379725303663754,15,792.0,22.89947509765625,2703.89098,
50,1,-103.0029825,48.013656,31.379725303663754,15,810.0,22.922618865966797,2703.89098,
51,1,-103.0027413,48.013656,31.453616823118157,15,828.0,22.945751190185547,2703.89098,
52,1,-103.0025,48.013656,31.49025048705445,15,846.0,22.968868255615234,2703.89098,
53,1,-103.0022587,48.013656,31.526666687216792,15,864.0,22.991973876953125,2703.89098,
54,1,-103.0020174,48.013656,31.526666687216792,15,882.0,23.015052795410156,2703.89098,
55,1,-103.0017762,48.013656,31.59881791177902,15,900.0,23.038116455078125,2703.89098,
56,1,-103.0015349,48.013656,31.63453831981595,15,918.0,23.061222076416016,2703.89098,
57,1,-103.0012936,48.013656,31.670012022343208,15,936.0,23.084291458129883,2703.89098,
58,1,-103.0010524,48.013656,31.705231485809055,15,954.0,23.107341766357422,2703.89098,
59,1,-103.0008111,48.013656,31.705231485809055,15,972.0,23.130420684814453,2703.89098,
60,1,-103.0005698,48.013656,31.774877127895245,15,990.0,23.153398513793945,2703.89098,
