Timestamp,ID,Lng,Lat,SINR,CQI,Route Distance,Predict SINR,NS3 Distance to Attached BS,Repast Distance to Attached BS
1,1,-103.0109444,48.0154367,30.69734808520205,15,18.0,10.36110123635946,2703.89098,6670.7919921875
2,1,-103.0109444,48.0152748,30.652837716211778,15,36.0,19.64471800127673,2703.89098,2727.354248046875
3,1,-103.0109444,48.0151129,30.608322567288248,15,54.0,19.596288290087628,2703.89098,2740.109375
4,1,-103.0109444,48.014951,30.56380658632982,15,72.0,19.547862570489414,2703.89098,2752.923095703125
5,1,-103.0109444,48.0147892,30.519293606852113,15,90.0,19.499473901642503,2703.89098,2765.786865234375
6,1,-103.0109444,48.0146273,30.47478735392051,15,108.0,19.451067183277033,2703.89098,2778.715576171875
7,1,-103.0109444,48.0144654,30.47478735392051,15,126.0,19.402677297348944,2703.89098,2791.7001953125
8,1,-103.0109444,48.0143035,30.385809433475046,15,144.0,19.35430595797483,2703.89098,2804.740478515625
9,1,-103.0109444,48.0141416,30.34134470385019,15,162.0,19.305957548078297,2703.89098,2817.83544921875
10,1,-103.0109444,48.0141416,30.34134470385019,15,162.0,19.305957548078297,2703.89098,2817.83544921875
11,1,-103.0109444,48.0141416,30.296900591394937,15,162.0,19.305957548078297,2703.89098,2817.83544921875
12,1,-103.0109444,48.0141416,30.296900591394937,15,162.0,19.305957548078297,2703.89098,2817.83544921875
13,1,-103.0109444,48.0141416,30.296900591394937,15,162.0,19.305957548078297,2703.89098,2817.83544921875
14,1,-103.0109444,48.0141416,30.296900591394937,15,162.0,19.305957548078297,2703.89098,2817.83544921875
15,1,-103.0109444,48.0139797,30.296900591394937,15,180.0,19.257635476569348,2703.89098,2830.984375
16,1,-103.0109444,48.0138179,30.252480326457786,15,198.0,19.20937338418993,2703.89098,2844.17822265625
17,1,-103.0109444,48.013656,30.20808703206101,15,216.0,19.16111471821246,2703.89098,2857.4326171875
18,1,-103.0107031,48.013656,30.20808703206101,15,234.0,19.205114507162122,2703.89098,2845.345458984375
19,1,-103.0104618,48.013656,30.204170419822596,15,252.0,19.24907443028839,2703.89098,2833.3203125
20,1,-103.0102206,48.013656,30.204170419822596,15,270.0,19.292971627970317,2703.89098,2821.363037109375
21,1,-103.0099793,48.013656,30.284947767860018,15,288.0,19.33683788252442,2703.89098,2809.464599609375
22,1,-103.009738,48.013656,30.284947767860018,15,306.0,19.38065117727858,2703.89098,2797.630615234375
23,1,-103.0094968,48.013656,30.365544106648848,15,324.0,19.424388220728773,2703.89098,2785.866943359375
24,1,-103.0092555,48.013656,30.365544106648848,15,342.0,19.468081059361154,2703.89098,2774.16455078125
25,1,-103.0090142,48.013656,30.445926509470524,15,360.0,19.511707254157315,2703.89098,2762.529052734375
26,1,-103.008773,48.013656,30.445926509470524,15,378.0,19.555243997122332,2703.89098,2750.966064453125
27,1,-103.0085317,48.013656,30.52606056295108,15,396.0,19.598721760791463,2703.89098,2739.467041015625
28,1,-103.0082904,48.013656,30.566023284607034,15,414.0,19.642116737915742,2703.89098,2728.037841796875
29,1,-103.0080492,48.013656,30.605910319417163,15,432.0,19.68540753178148,2703.89098,2716.68359375
30,1,-103.0078079,48.013656,30.645716936022236,15,450.0,19.72862391995828,2703.89098,2705.39599609375
31,1,-103.0075666,48.013656,30.645716936022236,15,468.0,19.771742580026554,2703.89098,2694.1806640625
32,1,-103.0073254,48.013656,30.725069470281007,15,486.0,19.814740759021234,2703.89098,2683.04296875
33,1,-103.0070841,48.013656,30.76460541880277,15,504.0,19.857647504873526,2703.89098,2671.974853515625
34,1,-103.0068428,48.013656,30.80404100797134,15,522.0,19.900439987968085,2703.89098,2660.981689453125
35,1,-103.0066016,48.013656,30.843370999095722,15,540.0,19.943095017252105,2703.89098,2650.06884765625
36,1,-103.0063603,48.013656,30.843370999095722,15,558.0,19.98564088804396,2703.89098,2639.228515625
37,1,-103.006119,48.013656,30.92169274057216,15,576.0,20.028055284489838,2703.89098,2628.4658203125
38,1,-103.0058777,48.013656,30.960673498734774,15,594.0,20.070330064187416,2703.89098,2617.7822265625
39,1,-103.0056365,48.013656,30.960673498734774,15,612.0,20.112444337855592,2703.89098,2607.182373046875
40,1,-103.0053952,48.013656,31.03824655155254,15,630.0,20.154424719432157,2703.89098,2596.658935546875
41,1,-103.0051539,48.013656,31.03824655155254,15,648.0,20.19624732696532,2703.89098,2586.21728515625
42,1,-103.0049127,48.013656,31.11526278199706,15,666.0,20.237888899160808,2703.89098,2575.862548828125
43,1,-103.0046714,48.013656,31.11526278199706,15,684.0,20.279377189149002,2703.89098,2565.587158203125
44,1,-103.0044301,48.013656,31.19167409595351,15,702.0,20.320686872746123,2703.89098,2555.396728515625
45,1,-103.0041889,48.013656,31.22963742326684,15,720.0,20.361796230087847,2703.89098,2545.2958984375
46,1,-103.0039476,48.013656,31.22963742326684,15,738.0,20.402730204957138,2703.89098,2535.27783203125
47,1,-103.0037063,48.013656,31.305047558155135,15,756.0,20.44346600042512,2703.89098,2525.347412109375
48,1,-103.0034651,48.013656,31.305047558155135,15,774.0,20.483979483141113,2703.89098,2515.509765625
49,1,-103.0032238,48.013656,31.379725303663754,15,792.0,20.524295730401107,2703.89098,2505.758056640625
50,1,-103.0029825,48.013656,31.416772768980508,15,810.0,20.564391514265296,2703.89098,2496.09716796875
51,1,-103.0027413,48.013656,31.453616823118157,15,828.0,20.60424124240619,2703.89098,2486.532470703125
52,1,-103.0025,48.013656,31.49025048705445,15,846.0,20.64387216444875,2703.89098,2477.056640625
